date,price
2021-03-12,3.544890372449417e-11
2021-03-13,3.544890372449417e-11
2021-03-14,2.7239851621885825e-11
2021-03-15,2.276711980520152e-11
2021-03-16,3.1976800418536546e-11
2021-03-17,2.8077474254547858e-11
2021-03-18,2.1126616432418585e-11
2021-03-19,2.0963108885770787e-11
2021-03-20,1.7818568348394942e-11
2021-03-21,1.714732901367917e-11
2021-03-22,1.2481281902033133e-11
2021-03-23,1.2533681483670114e-11
2021-03-24,1.1875716146667161e-11
2021-03-25,9.457534146178276e-12
2021-03-26,7.305428315404949e-12
2021-03-27,8.744554690166982e-12
2021-03-28,7.207941603822242e-12
2021-03-29,7.650775307094981e-12
2021-03-30,9.388180178763074e-12
2021-03-31,7.174640793551023e-12
2021-04-01,8.115413911027787e-12
2021-04-02,7.999102012443927e-12
2021-04-03,8.651487749048858e-12
2021-04-04,9.409349711694989e-12
2021-04-05,1.0896905187671577e-11
2021-04-06,1.5142164424853266e-11
2021-04-07,1.6785648600218088e-11
2021-04-08,1.0765405784247136e-11
2021-04-09,1.4312424017942007e-11
2021-04-10,1.4048118388124779e-11
2021-04-11,1.1963189826467365e-11
2021-04-12,1.2699972771176136e-11
2021-04-13,1.1419131925727329e-11
2021-04-14,1.018680681125154e-11
2021-04-15,1.1735694210638596e-11
2021-04-16,1.087416484991724e-11
2021-04-17,1.6041310947745593e-11
2021-04-18,1.6507045452453323e-11
2021-04-19,1.7379380747873198e-11
2021-04-20,2.5355351928978517e-11
2021-04-21,2.291001689120339e-11
2021-04-22,3.690262656392826e-11
2021-04-23,3.7631023446412574e-11
2021-04-24,3.4673508540441966e-11
2021-04-25,3.043824528327816e-11
2021-04-26,3.123134254438756e-11
2021-04-27,3.7861117684219295e-11
2021-04-28,4.0124785111455074e-11
2021-04-29,3.0721706524230225e-11
2021-04-30,2.729627649392701e-11
2021-05-01,2.754812181243449e-11
2021-05-02,3.2990477967288146e-11
2021-05-03,2.4524745447637075e-11
2021-05-04,3.36585591398417e-11
2021-05-05,3.172443722618356e-11
2021-05-06,3.3841814578770995e-11
2021-05-07,3.531498633314897e-11
2021-05-08,3.161184111233087e-11
2021-05-09,3.6476229889435325e-11
2021-05-10,3.926979526100081e-11
2021-05-11,6.57645348018457e-11
2021-05-12,1.499654680250319e-10
2021-05-13,1.0114248230197431e-10
2021-05-14,1.1268670241551678e-10
2021-05-15,1.324111328139154e-10
2021-05-16,1.0312825623366371e-10
2021-05-17,9.762381964568284e-11
2021-05-18,7.497404102541648e-11
2021-05-19,8.739058284595082e-11
