,date,price
0,2021-03-12,3.544890372449417e-11
1,2021-03-13,3.544890372449417e-11
2,2021-03-14,2.7239851621885825e-11
3,2021-03-15,2.276711980520152e-11
4,2021-03-16,3.1976800418536546e-11
5,2021-03-17,2.8077474254547858e-11
6,2021-03-18,2.1126616432418585e-11
7,2021-03-19,2.0963108885770787e-11
8,2021-03-20,1.7818568348394942e-11
9,2021-03-21,1.714732901367917e-11
10,2021-03-22,1.2481281902033133e-11
11,2021-03-23,1.2533681483670114e-11
12,2021-03-24,1.1875716146667161e-11
13,2021-03-25,9.457534146178276e-12
14,2021-03-26,7.305428315404949e-12
15,2021-03-27,8.744554690166982e-12
16,2021-03-28,7.207941603822242e-12
17,2021-03-29,7.650775307094981e-12
18,2021-03-30,9.388180178763074e-12
19,2021-03-31,7.174640793551023e-12
20,2021-04-01,8.115413911027787e-12
21,2021-04-02,7.999102012443927e-12
22,2021-04-03,8.651487749048858e-12
23,2021-04-04,9.409349711694989e-12
24,2021-04-05,1.0896905187671577e-11
25,2021-04-06,1.5142164424853266e-11
26,2021-04-07,1.6785648600218088e-11
27,2021-04-08,1.0765405784247136e-11
28,2021-04-09,1.4312424017942007e-11
29,2021-04-10,1.4048118388124779e-11
30,2021-04-11,1.1963189826467365e-11
31,2021-04-12,1.2699972771176136e-11
32,2021-04-13,1.1419131925727329e-11
33,2021-04-14,1.018680681125154e-11
34,2021-04-15,1.1735694210638596e-11
35,2021-04-16,1.087416484991724e-11
36,2021-04-17,1.6041310947745593e-11
37,2021-04-18,1.6507045452453323e-11
38,2021-04-19,1.7379380747873198e-11
39,2021-04-20,2.5355351928978517e-11
40,2021-04-21,2.291001689120339e-11
41,2021-04-22,3.690262656392826e-11
42,2021-04-23,3.7631023446412574e-11
43,2021-04-24,3.4673508540441966e-11
44,2021-04-25,3.043824528327816e-11
45,2021-04-26,3.123134254438756e-11
46,2021-04-27,3.7861117684219295e-11
47,2021-04-28,4.0124785111455074e-11
48,2021-04-29,3.0721706524230225e-11
49,2021-04-30,2.729627649392701e-11
50,2021-05-01,2.754812181243449e-11
